,neighborhood,total_count
0,Bedford Dwellings,52
1,Brighton Heights,54
2,Carrick,86
3,Central Business District,80
4,East Hills,57
5,East Liberty,54
6,Garfield,66
7,Hazelwood,85
8,Homewood North,90
9,Homewood South,168
10,Knoxville,65
11,Larimer,88
12,Lincoln-Lemington-Belmar,73
13,Manchester,51
14,Marshall-Shadeland,78
15,Middle Hill,65
16,Mount Washington,59
17,Perry South,83
18,Sheraden,80
19,South Side Flats,119
