_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
34,"BEAVER AVE & ISLAND AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2015,1,5,Chateau,6,27,42003980900,1,1,1-8,40.46206961,-80.03213445
35,"CLIMAX ST & GEARING AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,1,5,Beltzhoover,3,18,42003562400,5,3,4-16,40.41912346,-80.00550326
36,"CRANE AVE & LOWENHILL ST PITTSBURGH, PA 15216",1,0,1,0,0,0,2015,1,5,Beechview,4,19,42003191600,5,6,4-28,40.41706492,-80.02181771
37,"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",1,0,0,0,0,1,2015,1,5,Fineview,1,25,42003250900,1,1,1-10,40.4587586,-80.00193041
38,"3700 BLOCK CHARTIERS AVE PITTSBURGH, PA 15204",1,0,1,0,0,0,2015,1,5,Chartiers City,2,20,42003563000,5,6,1-16,40.45774824,-80.07275849
39,"6500 BLOCK HAMILTON AVE PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,1,5,Larimer,9,12,42003120800,2,5,3-10,40.45899245,-79.91426572
40,"400 BLOCK KINGSBORO ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2015,1,6,Beltzhoover,3,18,42003562400,5,3,4-5,40.42161973,-80.0005418
41,"LARIMER AVE & WINSLOW ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,1,6,Larimer,9,12,42003120400,2,5,3-12,40.46573876,-79.91335643
42,"400 BLOCK CLIMAX ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,1,6,Beltzhoover,3,18,42003562400,5,3,4-21,40.41980679,-80.00034948
43,"BLOOMFIELD BRG & BIGELOW BLVD PITTSBURGH, PA 15213",1,0,1,0,0,0,2015,1,6,Polish Hill,7,6,42003060500,6,2,2-6,40.45880712,-79.95790764
44,"HAMILTON AVE & PUTNAM ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,2,0,Larimer,9,12,42003120800,2,5,3-10,40.45882971,-79.91313121
45,"300 BLOCK W STATION SQUARE DR PITTSBURGH, PA 15203",1,0,1,0,0,0,2015,2,0,South Shore,2,19,42003980700,5,3,4-2,40.43498703,-80.00699072
46,"6500 BLOCK JACKSON ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,2,0,Highland Park,7,11,42003110600,2,5,3-9,40.47283765,-79.91212244
47,"3200 BLOCK BRIGHTON RD PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,2,0,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.47578918,-80.03110812
48,"WALLACE AVE & CENTER ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,2,0,,,,42003561200,,OSC,3-16,40.44355751,-79.88146878
49,"HAMILTON AVE & BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,2,0,Homewood South,9,13,42003130400,2,5,3-17,40.45273333,-79.88919374
50,"1800 BLOCK E CARSON ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2015,2,1,South Side Flats,3,17,42003170200,3,3,4-24,40.42848684,-79.98026911
51,"100 BLOCK ROCHELLE ST PITTSBURGH, PA 15210",1,0,0,1,0,0,2015,2,1,Knoxville,3,30,42003300100,5,3,4-6,40.41517507,-79.98811009
52,"3800 BLOCK CLEMENT WAY PITTSBURGH, PA 15201",1,0,1,0,0,0,2015,2,1,Lower Lawrenceville,7,6,42003060300,2,2,3-6,40.46264361,-79.96089978
53,"500 BLOCK PAULSON AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,2,1,Larimer,9,12,42003120400,2,5,3-12,40.46325248,-79.91209877
54,"2400 BLOCK PERRYSVILLE AVE PITTSBURGH, PA 15214",1,0,0,1,0,0,2015,2,1,,,,,,1,,,
55,"1600 BLOCK BROWNSVILLE RD PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,2,2,Carrick,4,29,42003290200,3,3,4-12,40.39980457,-79.98906697
56,"7400 BLOCK MONTICELLO ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2015,2,2,Homewood North,9,13,42003130200,2,5,3-17,40.45832161,-79.89101593
57,"ARLINGTON AVE & PROCTOR WAY PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,2,2,Allentown,3,18,42003180300,5,3,4-6,40.42045648,-79.99125932
58,"7300 BLOCK ANNAN WAY PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,2,2,Homewood South,9,13,42003130300,2,5,3-17,40.45268559,-79.89664437
59,"7100 BLOCK FLETCHER WAY PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,2,3,Homewood North,9,13,42003130200,2,5,3-18,40.46035896,-79.89753334
60,"ESSEN ST & PENFORT ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,2,3,Spring Hill-City View,1,26,42003260900,1,1,1-13,40.4732084,-80.002871
61,"BROAD ST & N GRAHAM ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,2,3,Garfield,9,11,42003111400,2,5,3-4,40.46544171,-79.93466408
62,"200 BLOCK WILBUR ST PITTSBURGH, PA 15210",3,1,2,0,0,0,2015,2,3,Knoxville,3,30,42003300100,5,3,4-7,40.4074431,-79.99259862
63,"500 BLOCK ARMANDALE ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,2,3,Central Northside,6,25,42003250300,1,1,1-21,40.45855453,-80.01272955
64,"300 BLOCK E WARRINGTON AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,2,4,Beltzhoover,3,18,42003562400,5,3,4-16,40.42093402,-80.00231965
65,"GIST ST & LOCUST ST PITTSBURGH, PA 15219",4,0,2,1,1,0,2015,2,4,Bluff,6,1,42003010300,3,2,2-1,40.43652762,-79.97957669
66,"1000 BLOCK SILVERDALE ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,2,4,Homewood North,9,13,42003130100,2,5,3-17,40.45593939,-79.88076951
67,"5500 BLOCK MARGARETTA ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,2,4,Garfield,9,11,42003111400,2,5,3-8,40.46837876,-79.93016357
68,"1900 BLOCK SAW MILL RUN BLVD PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,2,4,Overbrook,4,32,42003320600,5,3,4-25,40.39404515,-79.99728561
69,"CHARLES ST & IBIS WAY PITTSBURGH, PA 15210",1,0,0,0,1,0,2015,2,4,Knoxville,3,30,42003300100,5,3,4-6,40.41664896,-79.98865758
70,"1100 BLOCK BRUSHTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,2,5,Homewood North,9,13,42003130100,2,5,3-17,40.45794598,-79.88838024
71,"5400 BLOCK WATERFORD ST PITTSBURGH, PA 15224",1,0,1,0,0,0,2015,2,5,Garfield,9,10,42003101700,2,5,3-4,40.46530661,-79.93692851
72,"700 BLOCK TAFT AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,2,5,Beltzhoover,3,18,42003562400,5,3,4-16,40.41579561,-80.0071355
73,"1700 BLOCK PERRYSVILLE AVE PITTSBURGH, PA 15212",2,1,0,1,0,0,2015,2,5,Perry South,6,25,42003250300,1,1,1-10,40.46039619,-80.00970815
74,"2700 BLOCK CENTRE AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,2,5,Terrace Village,6,5,42003051000,3,2,2-5,40.44714253,-79.96702786
75,"2500 BLOCK CHAUNCEY DR PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,2,5,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4509833,-79.97383971
76,"600 BLOCK HILLSBORO ST PITTSBURGH, PA 15204",2,0,2,0,0,0,2015,2,5,,,,,,6,,,
77,"FORBES AVE & MOULTRIE ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,2,6,Bluff,6,4,42003010300,3,2,2-1,40.43720497,-79.97449338
78,"500 BLOCK CEDARHURST ST PITTSBURGH, PA 15210",1,0,0,1,0,0,2015,2,6,Beltzhoover,3,18,42003562400,5,3,4-21,40.41834434,-79.99879409
79,"<100 BLOCK MT OLIVER ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,2,6,South Side Slopes,3,17,42003170600,3,3,4-6,40.42142267,-79.98708846
80,"200 BLOCK JUCUNDA ST PITTSBURGH, PA 15210",1,0,0,1,0,0,2015,2,6,Knoxville,3,30,42003300100,5,3,4-6,40.41719056,-79.99105223
81,"200 BLOCK HENDERSON ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,2,6,Fineview,1,25,42003250900,1,1,1-10,40.46032537,-80.00167471
82,"5TH AVE & WASHINGTON PL PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,2,6,Bluff,6,3,42003020100,6,2,2-4,40.43881466,-79.99094743
83,"GRANT ST & 6TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,2,6,Central Business District,6,2,42003020100,6,2,1-3,40.44076456,-79.99588553
84,"500 BLOCK LIBERTY AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2015,3,0,Central Business District,6,1,42003020100,6,2,1-3,40.44121755,-80.00359311
85,"100 BLOCK 19TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2015,3,0,South Side Flats,3,17,42003170200,3,3,4-24,40.42813681,-79.97945446
86,"2900 BLOCK BANKSVILLE RD PITTSBURGH, PA 15216",1,0,1,0,0,0,2015,3,0,Banksville,2,20,42003202300,5,6,4-9,40.40305635,-80.04153983
87,"PERRYSVILLE AVE & MARSHALL RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,3,0,Perry North,1,26,42003260700,1,1,1-23,40.47816981,-80.01206691
88,"PUTNAM ST & FRANKSTOWN AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,3,0,Larimer,9,12,42003120800,2,5,3-10,40.45995512,-79.91238094
89,"FRANKSTOWN AVE & COLLIER ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2015,3,1,Homewood South,9,13,42003130300,2,5,3-17,40.45640092,-79.89190537
90,"400 BLOCK S TRENTON AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,3,1,,,,,,OSC,,,
91,"FEDERAL STN & JACKSONIA ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,3,1,Central Northside,6,25,42003220600,1,1,1-21,40.45827089,-80.00754674
92,"1400 BLOCK WASHINGTON BLVD PITTSBURGH, PA 15206",1,0,0,1,0,0,2015,3,1,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-12,40.47038056,-79.90860787
93,"5100 BLOCK COLUMBO ST PITTSBURGH, PA 15224",2,0,1,1,0,0,2015,3,1,Garfield,9,10,42003101600,2,5,3-4,40.47028097,-79.94026909
94,"N RICHLAND ST & SUSQUEHANNA ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,3,1,Homewood South,9,13,42003130300,2,5,3-17,40.45189404,-79.89362682
95,"7200 BLOCK HAMILTON AVE PITTSBURGH, PA 15208",2,0,1,1,0,0,2015,3,2,Homewood South,9,13,42003130300,2,5,3-17,40.45462031,-79.89749641
96,"400 BLOCK ROSEDALE ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,3,2,,9,,42003130400,,5,3-16,40.44768878,-79.88816266
97,"400 BLOCK STANWIX ST PITTSBURGH, PA 15222",1,0,0,1,0,0,2015,3,2,Central Business District,6,1,42003020100,6,2,1-4,40.44085004,-80.00398861
98,"6500 BLOCK SHETLAND ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,3,2,Larimer,9,12,42003120400,2,5,3-12,40.46345045,-79.90916942
99,"3300 BLOCK BAINTON ST PITTSBURGH, PA 15212",1,0,0,0,0,1,2015,3,2,,,,,,1,,,
100,"MICHIGAN ST & GEARING AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,3,2,Beltzhoover,3,18,42003562400,5,3,4-16,40.41583109,-80.00487231
101,"2800 BLOCK BANKSVILLE RD PITTSBURGH, PA 15216",1,0,1,0,0,0,2015,3,2,Banksville,2,20,42003202300,5,6,4-9,40.4049229,-80.0401488
102,"PERRYSVILLE AVE & MARSHALL RD PITTSBURGH, PA 15214",2,1,1,0,0,0,2015,3,2,Perry North,1,26,42003260700,1,1,1-23,40.47816981,-80.01206691
103,"NORMAN ST & BUENA VISTA ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2015,3,2,Perry South,6,25,42003261400,1,1,1-10,40.4624851,-80.01393689
104,"1300 BLOCK E CARSON ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2015,3,2,South Side Flats,3,17,42003170200,3,3,4-24,40.42861494,-79.98517843
105,"200 BLOCK S FAIRMOUNT ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2015,3,2,Friendship,7,8,42003080700,2,5,3-23,40.46233535,-79.93380689
106,"500 BLOCK ENRIGHT CT PITTSBURGH, PA 15206",1,0,0,0,0,1,2015,3,2,,,,,,5,,,
107,"1200 BLOCK WOODLAND AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,3,2,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.46973962,-80.02751034
108,"2400 BLOCK BROWNSVILLE RD PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,3,3,Carrick,4,29,42003290400,3,3,4-23,40.3869346,-79.98355576
109,"2200 BLOCK N CHARLES ST PITTSBURGH, PA 15214",2,0,0,1,0,1,2015,3,3,Perry South,6,25,42003261400,1,1,1-12,40.4632225,-80.0198327
110,"BRYN MAWR RD & IOWA ST PITTSBURGH, PA 15219",2,0,0,2,0,0,2015,3,3,Upper Hill,6,5,42003050600,3,2,2-22,40.45146665,-79.95725412
111,"100 BLOCK AUBURN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,3,3,,,,,,5,,,
112,"7600 BLOCK SUSQUEHANNA ST PITTSBURGH, PA 15221",3,2,0,0,1,0,2015,3,4,Homewood South,9,13,42003130400,2,5,3-17,40.45100809,-79.89216148
113,"100 BLOCK KIRK AVE PITTSBURGH, PA 15210",2,0,1,0,0,1,2015,3,4,,,,,,3,,,
114,"CENTRE AVE & DEVILLIERS ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,3,4,Crawford-Roberts,6,5,42003050100,3,2,2-1,40.4436484,-79.98033357
115,"<100 BLOCK ELMORE ST PITTSBURGH, PA 15219",1,0,0,1,0,0,2015,3,5,Middle Hill,6,5,42003050100,3,2,2-1,40.44672021,-79.97870183
116,"BRUSHTON AVE & MONTICELLO ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,3,5,Homewood North,9,13,42003130200,2,5,3-17,40.45791739,-79.88837773
117,"300 BLOCK HARMAR ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,3,5,Polish Hill,7,6,42003060500,6,2,2-6,40.45808699,-79.96893528
118,"AUBURN ST & LARIMER AVE PITTSBURGH, PA 15206",2,0,1,1,0,0,2015,3,5,Larimer,9,12,42003120800,2,5,3-10,40.46386735,-79.91677277
119,"1200 BLOCK PINERIDGE ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,3,5,Homewood North,9,13,42003130100,2,5,3-17,40.45902253,-79.88987232
120,"800 BLOCK EUREKA ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,3,6,Allentown,3,18,42003180300,5,3,4-5,40.42362997,-79.99369636
121,"7100 BLOCK HAMILTON AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,3,6,Homewood South,9,13,42003130300,2,5,3-17,40.45481337,-79.89936476
122,"7600 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,3,6,Homewood South,9,13,42003130400,2,5,3-17,40.45567273,-79.88997893
123,"SAW MILL RUN BLVD & CRANE AVE PITTSBURGH, PA 15226",1,0,0,1,0,0,2015,3,6,Mount Washington,4,19,42003191500,5,3,4-28,40.41709907,-80.01458435
