_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
609,"2600 BLOCK BEDFORD AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,2,1,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.45142482,-79.97080429
610,"BRIGHTRIDGE ST & N CHARLES ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,2,2,Perry South,6,25,42003261400,1,1,1-12,40.46206225,-80.01827806
611,"1100 BLOCK AMANDA AVE PITTSBURGH, PA 15210",3,0,3,0,0,0,2016,2,2,Carrick,4,29,42003290200,3,3,4-12,40.40548318,-79.98927497
612,"100 BLOCK S 18TH ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,2,2,South Side Flats,3,17,42003170200,3,3,4-24,40.42813925,-79.98083612
613,"1500 BLOCK BARR AVE PITTSBURGH, PA 15205",1,0,0,1,0,0,2016,2,2,,,,42003563100,,6,,40.43646944,-80.05825774
614,"200 BLOCK MERRIMAC ST PITTSBURGH, PA 15211",1,0,1,0,0,0,2016,2,3,Mount Washington,2,19,42003190300,5,3,4-1,40.43280491,-80.01363129
615,"1600 BLOCK SANDUSKY CT PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,2,3,Central Northside,6,25,42003220600,1,1,1-10,40.45892363,-80.00550843
616,"1200 BLOCK GROTTO ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,2,3,,,,,,5,,,
617,"2400 BLOCK WYLIE AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,2,4,Middle Hill,6,5,42003050100,3,2,2-5,40.447313,-79.97309074
618,"3500 BLOCK CALIFORNIA AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,2,4,Brighton Heights,1,27,42003270300,1,1,1-14,40.47826147,-80.04027347
619,"4900 BLOCK DEARBORN ST PITTSBURGH, PA 15224",1,0,1,0,0,0,2016,2,4,Garfield,9,10,42003101700,2,5,3-4,40.46605123,-79.94503719
620,"3400 BLOCK CALIFORNIA AVE PITTSBURGH, PA 15212",3,1,1,0,0,1,2016,2,4,Brighton Heights,1,27,42003270300,1,1,1-14,40.4763859,-80.03972469
621,"TIOGA ST & ROSEDALE ST PITTSBURGH, PA 15221",1,0,0,1,0,0,2016,2,5,Homewood South,9,13,42003130400,2,5,3-17,40.45004487,-79.88683602
622,"100 BLOCK MADELINE ST PITTSBURGH, PA 15210",1,0,0,1,0,0,2016,2,5,Carrick,4,29,42003290200,3,3,4-12,40.39418064,-79.98522203
623,"BRYN MAWR RD & CENTRE AVE PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,2,5,Upper Hill,8,4,42003050600,3,4,2-23,40.44898043,-79.95771369
624,"1200 BLOCK SANDUSKY STN PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,2,5,,,,,,1,,,
625,"1300 BLOCK BREINING ST PITTSBURGH, PA 15226",2,0,0,1,0,1,2016,2,5,Brookline,4,19,42003191800,5,6,4-26,40.39120615,-80.01070205
626,"2400 BLOCK SARAH ST PITTSBURGH, PA 15203",1,0,0,0,1,0,2016,2,5,South Side Flats,3,16,42003160900,3,3,4-24,40.42727625,-79.97139815
627,"WYLIE AVE & JUNILLA ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,2,5,Middle Hill,6,5,42003050100,3,2,2-5,40.44810465,-79.97171239
628,"6400 BLOCK APPLE AVE PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,2,5,,,,,,5,,,
629,"FRANKSTOWN AVE & COLLIER ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,2,5,Homewood South,9,13,42003130300,2,5,3-17,40.45640092,-79.89190537
630,"400 BLOCK SMITHFIELD ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,2,5,Central Business District,6,1,42003020100,6,2,1-4,40.43878699,-79.99932299
631,"HAMILTON AVE & EAST LIBERTY BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,2,6,East Liberty,9,12,42003120800,2,5,3-10,40.45986619,-79.91577428
632,"1200 BLOCK DICKSON ST PITTSBURGH, PA 15212",1,0,0,1,0,0,2016,2,6,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4702143,-80.02807905
633,"HAMILTON AVE & EAST LIBERTY BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,2,6,East Liberty,9,12,42003120800,2,5,3-10,40.45986619,-79.91577428
634,"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",3,0,3,0,0,0,2016,2,6,Crafton Heights,2,28,42003281400,5,6,1-17,40.44580307,-80.05238897
635,"2500 BLOCK PARK HILL DR PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,3,0,East Hills,9,13,42003130600,2,5,3-19,40.456114,-79.87322715
636,"1900 BLOCK SAW MILL RUN BLVD PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,0,Overbrook,4,32,42003320600,5,3,4-25,40.39404515,-79.99728561
637,"6800 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,3,0,Homewood West,9,12,42003120700,2,5,3-17,40.45812233,-79.90598514
638,"500 BLOCK GARNER CT PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,3,0,,,,,,2,,,
639,"1600 BLOCK SANDUSKY CT PITTSBURGH, PA 15212",4,0,3,1,0,0,2016,3,1,Central Northside,6,25,42003220600,1,1,1-10,40.45892363,-80.00550843
640,"200 BLOCK WINSTON ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2016,3,1,Hazelwood,5,15,42003562300,3,4,2-13,40.40476085,-79.94146561
641,"1400 BLOCK N MURTLAND ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,3,1,Homewood North,9,13,42003130100,2,5,3-18,40.46256947,-79.8995295
642,"BLOCK OVER VIEW PARK PITTSBURGH, PA",2,0,0,2,0,0,2016,3,1,,,,,,6,,,
643,"<100 BLOCK BELTZHOOVER AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,1,Beltzhoover,3,18,42003562400,5,3,4-21,40.4199711,-79.99735717
644,"800 BLOCK GEORGIA AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,1,Knoxville,3,30,42003300100,5,3,4-7,40.40941854,-79.99543929
645,"1400 BLOCK WESTFIELD ST PITTSBURGH, PA 15216",1,0,1,0,0,0,2016,3,2,Beechview,4,19,42003191600,5,6,4-28,40.41313837,-80.01932161
646,"2200 BLOCK WILNER DR PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,3,2,,,,,,5,,,
647,"800 BLOCK BERKSHIRE AVE PITTSBURGH, PA 15226",1,0,1,0,0,0,2016,3,2,Brookline,4,19,42003191800,5,6,4-26,40.39332121,-80.02109137
648,"FEDERAL STN & E NORTH AVE PITTSBURGH, PA 15212",1,0,0,1,0,0,2016,3,2,Central Northside,1,22,42003562700,1,1,1-21,40.45545699,-80.00663567
649,"300 BLOCK BOGGSTON AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,2,Beltzhoover,3,18,42003562400,5,3,4-16,40.41811699,-80.00994442
650,"BRIGHTON RD & TERMON AVE PITTSBURGH, PA 15212",3,1,2,0,0,0,2016,3,2,Brighton Heights,1,27,42003270100,1,1,1-14,40.48306087,-80.03542437
651,"2400 BLOCK CHAUNCEY DR PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,3,2,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.44984081,-79.97462514
652,"5TH AVE & FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,3,3,Larimer,9,12,42003120800,2,5,3-17,40.45868181,-79.90804351
653,"5TH AVE & FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,3,3,Larimer,9,12,42003120800,2,5,3-17,40.45868181,-79.90804351
654,"1100 BLOCK WHEELER ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,3,3,Homewood North,9,13,42003130100,2,5,3-17,40.45939532,-79.88450686
655,"TAYLOR ST & CORDAY WAY PITTSBURGH, PA 15224",1,0,0,1,0,0,2016,3,3,Bloomfield,7,9,42003090300,2,5,3-6,40.46304785,-79.95056179
656,"300 BLOCK N GRAHAM ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,3,3,Garfield,9,11,42003111400,2,5,3-4,40.46689026,-79.93378542
657,"300 BLOCK CEDAR AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,3,3,East Allegheny,1,22,42003563200,1,1,1-20,40.45089356,-80.0009078
658,"FAULSEY WAY & FONTELLA ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,3,3,Manchester,6,21,42003210700,1,1,1-8,40.45237939,-80.02213013
659,"300 BLOCK ORIN ST PENN HILLS, PA 15235",4,0,2,1,1,0,2016,3,3,,,,42003523200,,OSC,,40.46137411,-79.85382322
660,"ALLEN ST & INDUSTRY ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,4,Allentown,3,18,42003180300,5,3,4-6,40.42082132,-79.99371813
661,"300 BLOCK N GRAHAM ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,3,4,Garfield,9,11,42003111400,2,5,3-4,40.46689026,-79.93378542
662,"7000 BLOCK MT VERNON ST PITTSBURGH, PA 15208",3,0,3,0,0,0,2016,3,4,Homewood North,9,13,42003130100,2,5,3-18,40.46252977,-79.89951875
663,"7200 BLOCK RACE ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2016,3,4,Homewood North,9,13,42003130200,2,5,3-17,40.45883675,-79.8957066
664,"HAMILTON AVE & ALBION ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,3,4,Homewood South,9,13,42003130300,2,5,3-17,40.45421079,-79.89566304
665,"SAW MILL RUN BLVD & OVERBROOK BLVD PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,3,4,Overbrook,4,32,42003320400,5,3,4-25,40.38502449,-79.99487876
666,"6300 BLOCK MONITOR ST PITTSBURGH, PA 15217",1,0,1,0,0,0,2016,3,4,Squirrel Hill South,5,14,42003141400,3,4,2-15,40.42532482,-79.92385442
667,"3700 BLOCK FRAZIER ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,3,4,South Oakland,3,4,42003040900,3,4,2-11,40.42931806,-79.95462078
668,"2200 BLOCK WILNER DR PITTSBURGH, PA 15221",2,0,1,1,0,0,2016,3,4,,,,,,5,,,
669,"1500 BLOCK CRUCIBLE ST PITTSBURGH, PA 15220",1,0,1,0,0,0,2016,3,5,,,,,,6,,,
670,"1200 BLOCK WOODS RUN AVE PITTSBURGH, PA 15212",1,0,0,1,0,0,2016,3,5,,,,42003561200,,1,3-16,40.44535289,-79.88366519
671,"HILLSBORO ST & BRIDGELY WAY PITTSBURGH, PA 15204",2,0,1,1,0,0,2016,3,5,Sheraden,2,20,42003562500,5,6,1-16,40.45362301,-80.05304778
672,"400 BLOCK PENFORT ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2016,3,5,,,,,,1,,,
673,"200 BLOCK S MILLVALE AVE PITTSBURGH, PA 15224",1,0,1,0,0,0,2016,3,5,Bloomfield,7,8,42003080900,2,5,3-6,40.46486343,-79.94572236
674,"1600 BLOCK PENN AVE PITTSBURGH, PA 15222",2,0,2,0,0,0,2016,3,6,Strip District,7,2,42003020300,6,2,2-3,40.44883506,-79.98747218
675,"1600 BLOCK SMALLMAN ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,3,6,Strip District,7,2,42003020300,6,2,2-3,40.44957416,-79.98765
676,"1600 BLOCK SMALLMAN ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,3,6,Strip District,7,2,42003020300,6,2,2-3,40.44957416,-79.98765
677,"FRANKSTOWN AVE & STERRETT ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,4,0,Homewood South,9,13,42003130300,2,5,3-17,40.45690781,-79.89414833
678,"4800 BLOCK MONONGAHELA ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2016,4,0,Hazelwood,5,15,42003562300,3,4,2-13,40.41129196,-79.94263323
679,"600 BLOCK WOOD ST PITTSBURGH, PA 15222",1,0,0,1,0,0,2016,4,0,Central Business District,6,2,42003020100,6,2,1-3,40.44212885,-79.99947653
680,"600 BLOCK NEGLEY RUN BLVD PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,4,1,East Liberty,9,11,42003111300,2,5,3-8,40.46872268,-79.92700832
681,"5800 BLOCK EAST LIBERTY BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,4,1,East Liberty,9,11,42003111300,2,5,3-8,40.46677408,-79.92524352
682,"7200 BLOCK RACE ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2016,4,1,Homewood North,9,13,42003130200,2,5,3-17,40.45883675,-79.8957066
683,"900 BLOCK CALIFORNIA AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,4,1,California-Kirkbride,6,25,42003250700,1,1,1-9,40.45940954,-80.01917581
684,"CLIMAX ST & HABERMAN AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,4,1,Beltzhoover,3,18,42003562400,5,3,4-16,40.41989739,-80.00242858
685,"1800 BLOCK FAHNESTOCK ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,4,2,,,,,,5,,,
686,"MAPLE CT & WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,4,2,,,,,,6,,,
687,"1100 BLOCK SHEFFIELD ST PITTSBURGH, PA 15233",1,0,0,1,0,0,2016,4,2,Manchester,6,21,42003210700,1,1,1-8,40.45421198,-80.02126518
688,"ROETHLEIN WAY & WELSER WAY PITTSBURGH, PA 15212",2,0,2,0,0,0,2016,4,2,Spring Garden,1,24,42003241200,1,1,1-5,40.45960206,-79.99248295
689,"1600 BLOCK LOWRIE ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,4,3,Troy Hill,1,24,42003240600,1,1,1-2,40.4627513,-79.98356218
690,"1700 BLOCK BELLEAU DR PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,4,3,Fineview,6,25,42003250900,1,1,1-10,40.46031055,-80.00698339
691,"7600 BLOCK SUSQUEHANNA ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,4,3,Homewood South,9,13,42003130400,2,5,3-17,40.45100809,-79.89216148
692,"200 BLOCK OAK HILL DR PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,4,3,,,,,,2,,,
693,"BROOCH WAY & HAMMOND ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,4,3,Sheraden,2,20,42003562500,5,6,1-16,40.45495783,-80.05161954
694,"ALLEQUIPPA ST & ROBINSON ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,4,4,West Oakland,6,5,42003040200,3,4,2-10,40.44282673,-79.96576039
695,"500 BLOCK DORNESTIC ST PITTSBURGH, PA 15214",4,0,3,1,0,0,2016,4,4,Perry North,1,26,42003260200,1,1,1-15,40.49057698,-80.02529286
696,"4800 BLOCK MONONGAHELA ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2016,4,4,Hazelwood,5,15,42003562300,3,4,2-13,40.41129196,-79.94263323
697,"100 BLOCK ORMSBY ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,4,5,,,,,,3,,,
698,"<100 BLOCK WHARTON CT PITTSBURGH, PA 15203",2,0,2,0,0,0,2016,4,5,South Side Flats,3,16,42003160900,3,3,4-24,40.42961053,-79.96817799
699,"1100 BLOCK ALLEGHENY AVE PITTSBURGH, PA 15233",1,0,0,1,0,0,2016,4,5,Central Northside,1,22,42003220600,1,1,1-8,40.45326069,-80.01934169
700,"WEBSTER AVE & ERIN ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,4,5,Middle Hill,6,5,42003050100,3,2,2-1,40.4463207,-79.98032808
701,"1600 BLOCK SANDUSKY CT PITTSBURGH, PA 15212",2,1,1,0,0,0,2016,4,5,Central Northside,6,25,42003220600,1,1,1-10,40.45892363,-80.00550843
702,"200 BLOCK SHETLAND AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,4,5,Larimer,9,12,42003120400,2,5,3-12,40.46456988,-79.91041829
703,"300 BLOCK LIBERTY AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,4,5,Central Business District,6,1,42003020100,6,2,1-3,40.4405702,-80.00626004
704,"1500 BLOCK CUMBERLAND ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2016,4,5,,,,,,6,,,
705,"3500 BLOCK CALIFORNIA AVE PITTSBURGH, PA 15212",1,0,0,0,0,1,2016,4,5,Brighton Heights,1,27,42003270300,1,1,1-14,40.47826147,-80.04027347
706,"HAMILTON AVE & COLLIER ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,4,6,Homewood South,9,13,42003130300,2,5,3-17,40.45360746,-79.89299563
707,"7000 BLOCK PENN AVE PITTSBURGH, PA 15208",4,0,0,1,2,1,2016,4,6,Point Breeze,8,14,42003140600,3,4,3-14,40.45084966,-79.90630831
708,"BEDFORD AVE & SOMERS ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,4,6,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.44941741,-79.97555301
709,"100 BLOCK MT OLIVER ST PITTSBURGH, PA 15210",2,0,2,0,0,0,2016,4,6,Arlington,3,16,42003561600,3,3,4-8,40.41711609,-79.97763948
710,"6500 BLOCK ROWAN ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,4,6,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.46667918,-79.90679092
711,"300 BLOCK LOMBARD ST PITTSBURGH, PA 15219",2,0,2,0,0,0,2016,4,6,,,,,,2,,,
712,"300 BLOCK EAST OHIO ST PITTSBURGH, PA 15212",1,0,0,0,1,0,2016,4,6,,,,42003563900,,1,,40.41253154,-79.84279604
713,"600 BLOCK GENERAL ROBINSON STW PITTSBURGH, PA 15212",1,0,1,0,0,0,2016,5,0,,,,,,1,,,
714,"1000 BLOCK PENN AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,5,0,Central Business District,6,2,42003020100,6,2,1-3,40.44422744,-79.99489376
715,"S 16TH ST & SARAH ST PITTSBURGH, PA 15203",1,1,0,0,0,0,2016,5,0,South Side Flats,3,17,42003170200,3,3,4-24,40.42761468,-79.98287442
716,"N CHARLES ST & CANTER WAY PITTSBURGH, PA 15214",1,0,0,0,1,0,2016,5,0,Perry South,6,26,42003261500,1,1,1-23,40.4709105,-80.00914744
717,"S 10TH ST & E CARSON ST PITTSBURGH, PA 15203",1,0,0,1,0,0,2016,5,0,South Side Flats,3,17,42003170200,3,3,4-24,40.42871047,-79.98857628
718,"1500 BLOCK CHATEAU ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,5,0,Manchester,6,21,42003210700,1,1,1-8,40.45486951,-80.02809378
719,"8400 BLOCK DERSAM ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,5,1,East Hills,9,13,42003130100,2,5,3-17,40.45782853,-79.878273
720,"MANSION ST & GLENWOOD AVE PITTSBURGH, PA 15207",1,0,1,0,0,0,2016,5,1,Hazelwood,5,15,42003562300,3,4,2-13,40.404387,-79.93917483
721,"4900 BLOCK KINCAID ST PITTSBURGH, PA 15224",1,0,1,0,0,0,2016,5,1,Garfield,9,10,42003101700,2,5,3-4,40.46752462,-79.94469245
722,"2200 BLOCK ARLINGTON AVE PITTSBURGH, PA 15210",2,0,0,0,0,2,2016,5,1,Arlington,3,16,42003561600,3,3,4-8,40.41684498,-79.97587792
723,"100 BLOCK KNOX AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,5,1,Knoxville,3,30,42003300100,5,3,4-6,40.41557251,-79.99058775
724,"1000 BLOCK NORWICH AVE PITTSBURGH, PA 15226",2,0,0,2,0,0,2016,5,1,Brookline,4,19,42003191800,5,6,4-26,40.3883488,-80.02087258
725,"SENNOTT ST & ATWOOD ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2016,5,1,Central Oakland,3,4,42003040500,3,4,2-14,40.44048989,-79.95686981
726,"CAREY WAY & S 18TH ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,5,1,South Side Flats,3,17,42003170200,3,3,4-24,40.42829817,-79.98061177
727,"100 BLOCK NOBLE AVE CRAFTON, PA 15205",1,0,0,1,0,0,2016,5,1,,,,42003465600,,OSC,,40.43425236,-80.06569644
728,"ROSEDALE ST & TACOMA ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,5,1,Homewood South,9,13,42003130400,2,5,3-17,40.45082252,-79.88639609
729,"<100 BLOCK WALDORF ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2016,5,2,Perry North,1,26,42003260200,1,1,1-15,40.49108008,-80.01942447
730,"3200 BLOCK GORMAN WAY PITTSBURGH, PA 15213",1,0,0,0,0,1,2016,5,2,,,,,,4,,,
731,"FORT DUQUESNE BLVD RAMP & 10TH ST BYP RAMP PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,5,2,,,,,,2,,,
732,"RENFREW ST & WINFIELD ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,5,2,Larimer,9,12,42003120400,2,5,3-12,40.46476865,-79.90862746
733,"6400 BLOCK CARVER ST PITTSBURGH, PA 15206",1,0,0,0,0,1,2016,5,2,,,,,,5,,,
734,"2900 BLOCK ZEPHYR AVE PITTSBURGH, PA 15204",2,0,2,0,0,0,2016,5,2,Sheraden,2,20,42003562500,5,6,1-16,40.45478467,-80.05200143
735,"<100 BLOCK WATSON BLVD PITTSBURGH, PA 15214",2,0,2,0,0,0,2016,5,3,Perry North,1,26,42003260700,1,1,1-15,40.47839305,-80.01156098
736,"ARLINGTON AVE & LILLIAN WAY PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,5,3,Allentown,3,18,42003180300,5,3,4-6,40.41884042,-79.98871591
737,"FRANKSTOWN AVE & NEUMAN WAY PITTSBURGH, PA 15221",1,0,0,0,0,1,2016,5,3,Homewood South,9,13,42003130400,2,5,3-17,40.45540749,-79.88753701
738,"<100 BLOCK GILFORD CT PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,5,3,,,,,,5,,,
739,"BRUSHTON AVE & TIOGA ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,5,3,Homewood South,9,13,42003130400,2,5,3-17,40.45126164,-79.89004385
740,"1300 BLOCK STEUBEN ST PITTSBURGH, PA 15220",6,2,2,1,1,0,2016,5,3,Crafton Heights,2,28,42003281400,5,6,1-17,40.44184313,-80.04867365
741,"8100 BLOCK CONEMAUGH ST PITTSBURGH, PA 15221",1,0,0,1,0,0,2016,5,3,East Hills,9,13,42003130600,2,5,3-17,40.45482775,-79.88303914
742,"WILNER DR & EAST HILLS DR PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,5,3,East Hills,9,13,42003130600,2,5,3-19,40.45511222,-79.87114747
743,"FERNDALE ST & BLACKADORE ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2016,5,4,Homewood North,9,13,42003130100,2,5,3-17,40.45932039,-79.88359088
744,"DINWIDDIE ST & WICK ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,5,4,Crawford-Roberts,6,3,42003030500,3,2,2-1,40.44132971,-79.98056019
745,"1800 BLOCK MAYDELL ST PITTSBURGH, PA 15216",1,0,1,0,0,0,2016,5,5,Banksville,2,20,42003202300,5,6,4-9,40.40913963,-80.03461006
746,"3300 BLOCK FLEMING AVE PITTSBURGH, PA 15212",2,0,2,0,0,0,2016,5,5,Brighton Heights,1,27,42003270300,1,1,1-14,40.47542968,-80.03741287
747,"E CARSON ST & S 18TH ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,5,5,South Side Flats,3,17,42003170200,3,3,4-24,40.42876656,-79.98056527
748,"600 BLOCK SOUTHERN AVE PITTSBURGH, PA 15211",1,0,0,0,0,1,2016,5,5,Mount Washington,2,19,42003191500,5,3,4-27,40.42180494,-80.01275079
749,"600 BLOCK LEONORA ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,5,5,Larimer,9,12,42003120400,2,5,3-12,40.46730839,-79.91290063
750,"1200 BLOCK E CARSON ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2016,5,5,South Side Flats,3,17,42003170200,3,3,4-24,40.42858286,-79.9862132
751,"1700 BLOCK AMANDA ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,5,5,Carrick,4,29,42003290200,3,3,4-12,40.39862657,-79.98780108
752,"7500 BLOCK MULFORD ST PITTSBURGH, PA 15221",3,0,3,0,0,0,2016,5,5,,,,,,5,,,
753,"900 BLOCK BERND ST PITTSBURGH, PA 15210",4,0,0,3,0,1,2016,5,5,,,,,,3,,,
754,"SENECA ST & 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,5,5,Bluff,6,1,42003010300,3,4,2-1,40.43815492,-79.97589032
755,"WILSON AVE & N CHARLES ST PITTSBURGH, PA 15214",2,0,1,1,0,0,2016,5,5,Perry South,6,26,42003261400,1,1,1-12,40.46920473,-80.01458046
756,"100 BLOCK VESPUCIUS ST PITTSBURGH, PA 15207",1,0,0,0,0,1,2016,5,5,,,,,,4,,,
757,"6400 BLOCK APPLE AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,5,6,,,,,,5,,,
758,"500 BLOCK FARNSWORTH ST PITTSBURGH, PA 15207",1,0,1,0,0,0,2016,5,6,Greenfield,5,15,42003151600,3,4,2-12,40.4232854,-79.94277287
759,"5000 BLOCK FRIENDSHIP AVE PITTSBURGH, PA 15224",1,0,0,1,0,0,2016,5,6,Bloomfield,7,8,42003080900,2,5,3-6,40.46219435,-79.94439879
760,"1400 BLOCK NIXON ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,6,0,Manchester,6,21,42003210700,1,1,1-8,40.45969964,-80.02838169
761,"1400 BLOCK LOCUST ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2016,6,0,Bluff,6,1,42003010300,3,2,2-4,40.43604397,-79.9854587
762,"1400 BLOCK NIXON ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2016,6,0,Manchester,6,21,42003210700,1,1,1-8,40.45969964,-80.02838169
763,"6900 BLOCK FORWARD AVE PITTSBURGH, PA 15217",1,0,1,0,0,0,2016,6,0,Squirrel Hill South,5,14,42003141400,3,4,2-20,40.42631984,-79.90782209
764,"7700 BLOCK HAMILTON AVE PITTSBURGH, PA 15221",1,0,0,1,0,0,2016,6,0,Homewood South,9,13,42003130400,2,5,3-17,40.45256859,-79.8890922
765,"6500 BLOCK DEARY ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,6,0,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.46691147,-79.90598674
766,"2900 BLOCK CHARTIERS AVE PITTSBURGH, PA 15204",1,0,1,0,0,0,2016,6,1,Sheraden,2,20,42003202200,5,6,1-16,40.45395541,-80.05634796
767,"1200 BLOCK PINERIDGE ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2016,6,1,Homewood North,9,13,42003130100,2,5,3-17,40.45902253,-79.88987232
768,"4100 BLOCK MURRAY AVE PITTSBURGH, PA 15217",1,0,1,0,0,0,2016,6,1,Greenfield,5,15,42003151700,3,4,2-15,40.42489662,-79.92841589
769,"400 BLOCK PARKLOW ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2016,6,1,Knoxville,3,30,42003300100,5,3,4-7,40.41298892,-79.99556942
770,"7400 BLOCK KELLY ST PITTSBURGH, PA 15208",1,0,0,1,0,0,2016,6,1,,,,,,5,,,
